,decades,name,number
255,00s,Adenike,6
256,00s,Adham,67
257,00s,Adhemar,8
258,00s,Adi,114
259,00s,Adia,606
260,00s,Adian,171
261,00s,Adianez,5
262,00s,Adib,11
263,00s,Adiba,5
264,00s,Adiel,269
265,00s,Adien,5
266,00s,Adil,151
267,00s,Adilene,1451
268,00s,Adilyn,111
269,00s,Adilynn,63
270,00s,Adin,923
271,00s,Adina,699
272,00s,Adir,5
273,00s,Adira,16
274,00s,Adison,1567
275,00s,Adisyn,208
276,00s,Adit,11
277,00s,Adithi,27
278,00s,Adithya,90
279,00s,Aditi,1039
280,00s,Aditya,2019
281,00s,Adja,5
282,00s,Adleigh,11
283,00s,Adler,133
284,00s,Adley,24
285,00s,Admir,5
286,00s,Adna,37
287,00s,Adnan,436
288,00s,Adolfo,3428
289,00s,Adolph,8
290,00s,Adon,32
291,00s,Adonai,75
292,00s,Adonay,11
293,00s,Adonis,1814
294,00s,Adonnis,5
295,00s,Adonys,5
296,00s,Adora,76
297,00s,Adrain,91
298,00s,Adrean,68
299,00s,Adreana,23
300,00s,Adreanna,108
301,00s,Adreena,5
302,00s,Adria,338
303,00s,Adrian,66608
304,00s,Adriana,27243
305,00s,Adriane,21
306,00s,Adrianna,16993
307,00s,Adrianne,519
308,00s,Adriano,442
309,00s,Adriel,2321
310,00s,Adrielle,5
311,00s,Adrien,1909
312,00s,Adrienne,3681
313,00s,Adrik,25
314,00s,Adrina,166
315,00s,Adrionna,88
316,00s,Adryan,173
317,00s,Adryana,30
318,00s,Adryanna,25
319,00s,Advait,31
320,00s,Advaith,34
321,00s,Advik,11
322,00s,Advika,12
323,00s,Adyan,5
324,00s,Adylene,37
325,00s,Adyn,275
326,00s,Adysen,103
327,00s,Adyson,1745
328,00s,Aedan,1251
329,00s,Aeden,164
330,00s,Aedyn,18
331,00s,Aeneas,33
332,00s,Aerial,114
333,00s,Aeriana,11
334,00s,Aeriel,5
335,00s,Aerin,46
336,00s,Aeris,160
337,00s,Aeron,7
338,00s,Aeryn,100
339,00s,Aesha,5
340,00s,Aeva,18
341,00s,Affan,5
342,00s,Afia,48
343,00s,Afnan,6
344,00s,Afra,6
345,00s,Afreen,5
346,00s,Africa,17
347,00s,Afsana,12
348,00s,Afton,259
349,00s,Agam,5
350,00s,Agapito,5
351,00s,Agastya,21
352,00s,Agata,11
353,00s,Agatha,86
354,00s,Agnes,222
355,00s,Agustin,2756
356,00s,Agustina,99
357,00s,Agustine,5
358,00s,Ahad,53
359,00s,Ahana,31
360,00s,Aharon,364
361,00s,Ahlam,16
362,00s,Ahlana,5
363,00s,Ahmad,5003
364,00s,Ahmari,83
365,00s,Ahmarion,5
366,00s,Ahmed,4077
367,00s,Ahmet,27
368,00s,Ahmir,363
369,00s,Ahmod,6
370,00s,Ahmya,21
371,00s,Ahna,22
372,00s,Ahnaf,43
