,decades,name,number
25714,2010s,Daliah,139
25715,2010s,Dalida,5
25716,2010s,Dalila,832
25717,2010s,Dalilah,1541
25718,2010s,Dalina,12
25719,2010s,Dalis,17
25720,2010s,Dalissa,6
25721,2010s,Daliyah,177
25722,2010s,Dallana,10
25723,2010s,Dallas,13779
25724,2010s,Dallen,17
25725,2010s,Dallie,5
25726,2010s,Dallin,494
25727,2010s,Dallis,42
25728,2010s,Dally,6
25729,2010s,Dalon,6
25730,2010s,Dalton,9402
25731,2010s,Dalvin,5
25732,2010s,Dalya,7
25733,2010s,Dalyla,35
25734,2010s,Dalylah,64
25735,2010s,Dalyn,10
25736,2010s,Damani,425
25737,2010s,Damar,5
25738,2010s,Damara,7
25739,2010s,Damarcus,210
25740,2010s,Damari,1757
25741,2010s,Damaria,5
25742,2010s,Damarian,6
25743,2010s,Damario,28
25744,2010s,Damarion,1293
25745,2010s,Damaris,1276
25746,2010s,Damarius,45
25747,2010s,Damariz,21
25748,2010s,Damarrion,5
25749,2010s,Damaya,10
25750,2010s,Damen,54
25751,2010s,Dameon,97
25752,2010s,Damia,52
25753,2010s,Damiah,5
25754,2010s,Damian,31354
25755,2010s,Damiana,10
25756,2010s,Damien,13636
25757,2010s,Damier,22
25758,2010s,Damion,1297
25759,2010s,Damir,479
25760,2010s,Damiya,95
25761,2010s,Damiyah,260
25762,2010s,Damon,6062
25763,2010s,Damond,6
25764,2010s,Damoni,406
25765,2010s,Damonie,5
25766,2010s,Damontae,5
25767,2010s,Damonte,16
25768,2010s,Damya,206
25769,2010s,Damyah,10
25770,2010s,Damyan,24
25771,2010s,Dan,466
25772,2010s,Dana,3190
25773,2010s,Danae,471
25774,2010s,Danaly,5
25775,2010s,Danasia,31
25776,2010s,Danay,16
25777,2010s,Danaya,5
25778,2010s,Dandre,480
25779,2010s,Dane,3577
25780,2010s,Danell,5
25781,2010s,Danella,6
25782,2010s,Danelle,5
25783,2010s,Danelly,111
25784,2010s,Danely,86
25785,2010s,Danett,13
25786,2010s,Danette,9
25787,2010s,Dangelo,1428
25788,2010s,Dani,1682
25789,2010s,Dania,1431
25790,2010s,Daniah,11
25791,2010s,Danial,25
25792,2010s,Danica,3954
25793,2010s,Daniel,121695
25794,2010s,Daniela,14765
25795,2010s,Daniella,8864
25796,2010s,Danielle,10531
25797,2010s,Daniil,63
25798,2010s,Danika,2530
25799,2010s,Danilo,796
25800,2010s,Danilynn,10
25801,2010s,Danisha,35
25802,2010s,Danissa,5
25803,2010s,Danity,10
25804,2010s,Danitza,137
25805,2010s,Daniya,252
25806,2010s,Daniyah,388
25807,2010s,Daniyal,149
25808,2010s,Danna,5993
25809,2010s,Dannah,12
25810,2010s,Danner,21
25811,2010s,Danni,198
25812,2010s,Dannia,44
25813,2010s,Dannica,5
25814,2010s,Dannie,32
25815,2010s,Danniel,39
25816,2010s,Danniela,5
25817,2010s,Dannielle,10
25818,2010s,Dannika,11
25819,2010s,Danny,6277
25820,2010s,Dantae,12
25821,2010s,Dante,10072
25822,2010s,Danthony,110
25823,2010s,Dantrell,14
25824,2010s,Dany,62
25825,2010s,Danya,264
25826,2010s,Danyal,17
25827,2010s,Danyel,5
25828,2010s,Danyella,8
25829,2010s,Danyelle,19
25830,2010s,Danyla,46
25831,2010s,Daouda,6
25832,2010s,Daphne,6724
25833,2010s,Daphnee,13
25834,2010s,Daphney,42
25835,2010s,Daphnie,31
25836,2010s,Daquan,311
25837,2010s,Dara,455
25838,2010s,Darah,13
25839,2010s,Darby,550
25840,2010s,Darci,5
25841,2010s,Darcie,10
25842,2010s,Darcy,990
25843,2010s,Darek,16
25844,2010s,Darell,61
25845,2010s,Darely,55
25846,2010s,Daren,183
25847,2010s,Darey,151
25848,2010s,Daria,556
25849,2010s,Dariah,41
25850,2010s,Darian,2256
25851,2010s,Dariana,946
25852,2010s,Darianna,204
25853,2010s,Darianny,23
25854,2010s,Dariel,1993
25855,2010s,Dariela,116
25856,2010s,Dariella,10
25857,2010s,Darielle,20
25858,2010s,Darielys,15
25859,2010s,Darien,1282
25860,2010s,Darin,267
25861,2010s,Darina,111
25862,2010s,Dario,1560
25863,2010s,Darion,428
25864,2010s,Darionna,5
25865,2010s,Darious,10
25866,2010s,Daris,8
25867,2010s,Darius,5633
25868,2010s,Dariya,11
25869,2010s,Dariyah,106
25870,2010s,Darla,922
25871,2010s,Darlah,13
25872,2010s,Darleen,105
25873,2010s,Darlene,1121
25874,2010s,Darleth,19
25875,2010s,Darlin,25
25876,2010s,Darline,5
25877,2010s,Darling,55
25878,2010s,Darlyn,125
25879,2010s,Darnell,1245
25880,2010s,Daron,228
25881,2010s,Darrel,24
25882,2010s,Darrell,1954
25883,2010s,Darren,4702
25884,2010s,Darrian,115
25885,2010s,Darrick,10
25886,2010s,Darrien,153
25887,2010s,Darrin,184
25888,2010s,Darrion,192
25889,2010s,Darrius,406
25890,2010s,Darron,22
25891,2010s,Darryl,1231
25892,2010s,Darryn,28
25893,2010s,Darsh,190
25894,2010s,Darshan,5
25895,2010s,Dartagnan,21
25896,2010s,Darvin,32
25897,2010s,Darwin,1898
25898,2010s,Darwyn,6
25899,2010s,Darya,136
25900,2010s,Daryan,19
25901,2010s,Daryana,5
25902,2010s,Daryl,622
25903,2010s,Daryn,19
25904,2010s,Dasan,5
25905,2010s,Dasani,57
25906,2010s,Dasean,16
25907,2010s,Dash,1513
25908,2010s,Dasha,538
25909,2010s,Dashaun,68
25910,2010s,Dashawn,757
25911,2010s,Dashel,35
25912,2010s,Dashiel,19
25913,2010s,Dashiell,679
25914,2010s,Dashley,6
25915,2010s,Dashon,6
25916,2010s,Dasia,472
25917,2010s,Dason,5
25918,2010s,Dastan,34
25919,2010s,Daulton,13
25920,2010s,Davanee,5
25921,2010s,Dave,362
25922,2010s,Daveion,5
25923,2010s,Daven,113
25924,2010s,Daveon,184
25925,2010s,Davey,18
25926,2010s,Davi,495
25927,2010s,Davia,6
25928,2010s,Davian,1865
25929,2010s,Daviana,26
25930,2010s,Davianna,21
25931,2010s,David,106145
25932,2010s,Davide,10
25933,2010s,Davidson,39
25934,2010s,Daviel,16
25935,2010s,Davien,129
25936,2010s,Davier,5
25937,2010s,Davin,1600
25938,2010s,Davina,1392
25939,2010s,Davinah,5
25940,2010s,Davinci,5
25941,2010s,Davion,2759
25942,2010s,Davionna,15
25943,2010s,Davis,5343
25944,2010s,Davit,50
25945,2010s,Davon,1234
25946,2010s,Davontae,10
25947,2010s,Davonte,170
25948,2010s,Davy,5
25949,2010s,Davyn,25
25950,2010s,Dawayne,5
25951,2010s,Dawens,6
25952,2010s,Dawid,42
25953,2010s,Dawit,10
25954,2010s,Dawn,376
25955,2010s,Dawood,14
25956,2010s,Dawsen,6
25957,2010s,Dawson,12423
25958,2010s,Dawsyn,194
25959,2010s,Dawt,23
25960,2010s,Dawud,10
25961,2010s,Dax,3777
25962,2010s,Daxon,269
25963,2010s,Daxten,17
25964,2010s,Daxtin,5
25965,2010s,Daxton,5592
25966,2010s,Daxtyn,51
25967,2010s,Daxx,5
25968,2010s,Daya,38
25969,2010s,Dayami,121
25970,2010s,Dayan,15
25971,2010s,Dayana,4876
25972,2010s,Dayanara,633
25973,2010s,Dayani,92
25974,2010s,Dayanna,1069
25975,2010s,Dayelin,5
25976,2010s,Dayla,139
25977,2010s,Daylan,296
25978,2010s,Daylani,6
25979,2010s,Dayleen,43
25980,2010s,Daylen,1005
25981,2010s,Daylin,420
25982,2010s,Daylon,290
25983,2010s,Daymian,49
25984,2010s,Daymien,5
25985,2010s,Dayna,201
25986,2010s,Dayne,83
25987,2010s,Dayon,13
25988,2010s,Dayonna,10
25989,2010s,Dayra,269
25990,2010s,Dayro,5
25991,2010s,Dayron,64
25992,2010s,Daysha,43
25993,2010s,Dayshawn,10
25994,2010s,Daysi,85
25995,2010s,Dayson,39
25996,2010s,Dayton,2516
25997,2010s,Dayveon,5
25998,2010s,Dayvian,5
25999,2010s,Dayvion,35
26000,2010s,Dayvon,15
26001,2010s,Dea,12
26002,2010s,Deacon,4477
26003,2010s,Deagan,105
26004,2010s,Deaglan,35
26005,2010s,Deaire,11
26006,2010s,Deajah,5
26007,2010s,Dean,14878
26008,2010s,Deana,71
26009,2010s,Deandra,71
26010,2010s,Deandre,3531
26011,2010s,Deangelo,1535
26012,2010s,Deanna,1720
26013,2010s,Deanne,5
26014,2010s,Deante,33
26015,2010s,Deanthony,298
26016,2010s,Dearra,5
26017,2010s,Deasia,754
26018,2010s,Deaundre,5
26019,2010s,Deaven,6
26020,2010s,Debanhi,145
26021,2010s,Debanhy,6
26022,2010s,Debany,6
26023,2010s,Debbie,90
26024,2010s,Debora,445
26025,2010s,Deborah,2679
26026,2010s,Debra,120
26027,2010s,Decarlos,7
26028,2010s,December,50
26029,2010s,Decker,722
26030,2010s,Decklan,20
26031,2010s,Decklyn,17
26032,2010s,Declan,26478
26033,2010s,Dedrick,116
26034,2010s,Deegan,1151
26035,2010s,Deeksha,17
26036,2010s,Deema,22
26037,2010s,Deen,141
26038,2010s,Deena,159
26039,2010s,Deethya,5
26040,2010s,Deetya,28
26041,2010s,Defne,75
26042,2010s,Degan,18
26043,2010s,Deilany,5
26044,2010s,Deion,609
26045,2010s,Deirdre,5
26046,2010s,Deisy,228
26047,2010s,Deja,610
26048,2010s,Dejah,53
26049,2010s,Dejon,58
26050,2010s,Dejuan,131
26051,2010s,Dekari,16
26052,2010s,Dekker,12
26053,2010s,Deklan,789
26054,2010s,Deklin,26
26055,2010s,Deklyn,68
26056,2010s,Delaila,25
26057,2010s,Delailah,6
26058,2010s,Delaina,15
26059,2010s,Delainey,195
26060,2010s,Delana,15
26061,2010s,Delaney,11481
26062,2010s,Delani,156
26063,2010s,Delanie,884
26064,2010s,Delano,123
26065,2010s,Delany,207
26066,2010s,Delara,5
26067,2010s,Delayla,37
26068,2010s,Delaylah,5
26069,2010s,Delayna,15
26070,2010s,Delayne,5
26071,2010s,Delaynie,5
26072,2010s,Delayza,37
26073,2010s,Deleon,5
26074,2010s,Deleyza,5
26075,2010s,Delfina,33
26076,2010s,Delfino,37
26077,2010s,Delia,1287
26078,2010s,Delicia,5
26079,2010s,Delila,214
26080,2010s,Delilah,21622
26081,2010s,Delina,67
26082,2010s,Della,1311
26083,2010s,Delon,20
26084,2010s,Delonte,54
26085,2010s,Delores,5
26086,2010s,Delphine,115
26087,2010s,Delsa,6
26088,2010s,Delta,85
26089,2010s,Delton,12
26090,2010s,Delvin,69
26091,2010s,Delvon,5
26092,2010s,Delyla,41
26093,2010s,Delylah,329
26094,2010s,Demani,31
26095,2010s,Demar,6
26096,2010s,Demarco,346
26097,2010s,Demarcus,1411
26098,2010s,Demari,733
26099,2010s,Demaria,5
26100,2010s,Demario,435
26101,2010s,Demarion,818
26102,2010s,Demarious,5
26103,2010s,Demarius,89
26104,2010s,Demarkus,16
26105,2010s,Demetra,11
26106,2010s,Demetri,320
26107,2010s,Demetria,142
26108,2010s,Demetrio,110
26109,2010s,Demetrios,66
26110,2010s,Demetris,23
26111,2010s,Demetrius,3060
26112,2010s,Demi,3866
26113,2010s,Demian,280
26114,2010s,Demiana,11
26115,2010s,Demir,137
26116,2010s,Demitri,175
26117,2010s,Demitrius,17
26118,2010s,Demiya,5
26119,2010s,Demiyah,27
26120,2010s,Demond,129
26121,2010s,Demoni,24
26122,2010s,Demonte,33
26123,2010s,Dempsey,182
26124,2010s,Demya,17
26125,2010s,Dena,90
26126,2010s,Denae,6
26127,2010s,Denali,145
26128,2010s,Denasia,5
26129,2010s,Denia,11
26130,2010s,Denice,5
26131,2010s,Denilson,11
26132,2010s,Denim,689
26133,2010s,Deniro,5
26134,2010s,Denis,619
26135,2010s,Denise,2682
26136,2010s,Denisse,956
26137,2010s,Deniyah,16
26138,2010s,Deniz,204
26139,2010s,Dennis,5019
26140,2010s,Dennise,77
26141,2010s,Denny,116
26142,2010s,Denton,115
26143,2010s,Denver,2319
26144,2010s,Denym,23
26145,2010s,Denzel,1204
26146,2010s,Deon,1358
26147,2010s,Deondre,168
26148,2010s,Deonna,82
26149,2010s,Deonta,32
26150,2010s,Deontae,241
26151,2010s,Deonte,410
26152,2010s,Dequan,71
26153,2010s,Dereck,862
26154,2010s,Derek,16469
26155,2010s,Dereon,221
26156,2010s,Derian,82
26157,2010s,Deric,70
26158,2010s,Derick,1301
26159,2010s,Derik,125
26160,2010s,Derin,29
26161,2010s,Derion,61
26162,2010s,Deron,87
26163,2010s,Derrek,29
26164,2010s,Derrell,27
26165,2010s,Derrianna,5
26166,2010s,Derrick,7585
26167,2010s,Derrik,5
26168,2010s,Derrion,82
26169,2010s,Derriona,10
26170,2010s,Derrius,5
26171,2010s,Derwin,82
26172,2010s,Deryck,5
26173,2010s,Desaray,10
26174,2010s,Desean,454
26175,2010s,Deserae,10
26176,2010s,Deseray,5
26177,2010s,Deshaun,446
26178,2010s,Deshawn,1845
26179,2010s,Deshon,42
26180,2010s,Deshun,41
26181,2010s,Desi,83
26182,2010s,Desirae,769
26183,2010s,Desiray,20
26184,2010s,Desire,429
26185,2010s,Desirea,5
26186,2010s,Desiree,3149
26187,2010s,Desmond,8185
26188,2010s,Despina,17
26189,2010s,Destan,5
26190,2010s,Destany,23
26191,2010s,Desteny,126
26192,2010s,Destin,867
26193,2010s,Destinee,1905
26194,2010s,Destiney,386
26195,2010s,Destini,552
26196,2010s,Destinie,22
26197,2010s,Destiny,19806
26198,2010s,Deston,5
26199,2010s,Destry,5
26200,2010s,Destyn,5
26201,2010s,Destyni,10
26202,2010s,Dev,752
26203,2010s,Devan,846
26204,2010s,Devanee,6
26205,2010s,Devani,20
26206,2010s,Devanie,27
26207,2010s,Devanny,42
26208,2010s,Devansh,181
26209,2010s,Devante,249
26210,2010s,Devany,198
26211,2010s,Devaughn,52
26212,2010s,Deven,869
26213,2010s,Devesh,11
26214,2010s,Devi,30
26215,2010s,Devika,5
26216,2010s,Devin,15616
26217,2010s,Devina,81
26218,2010s,Devine,55
26219,2010s,Devion,66
26220,2010s,Devlin,152
26221,2010s,Devoiry,53
26222,2010s,Devon,5518
26223,2010s,Devonta,51
26224,2010s,Devontae,96
26225,2010s,Devonte,736
26226,2010s,Devora,397
26227,2010s,Devorah,809
26228,2010s,Devory,36
26229,2010s,Devyn,2430
26230,2010s,Devynn,48
26231,2010s,Dewayne,519
26232,2010s,Dex,18
26233,2010s,Dexter,6067
26234,2010s,Dexton,5
26235,2010s,Deyanira,63
26236,2010s,Deysi,101
26237,2010s,Dez,56
26238,2010s,Dezarae,6
26239,2010s,Dezerae,5
26240,2010s,Dezi,21
26241,2010s,Dezirae,161
26242,2010s,Dezire,27
26243,2010s,Deziree,20
26244,2010s,Deziyah,8
26245,2010s,Dezmen,5
26246,2010s,Dezmon,11
26247,2010s,Dezmond,519
26248,2010s,Dhairya,5
26249,2010s,Dhalia,21
26250,2010s,Dhani,14
26251,2010s,Dharma,6
26252,2010s,Dhilan,26
26253,2010s,Dhiya,10
26254,2010s,Dhriti,79
26255,2010s,Dhruv,1148
26256,2010s,Dhruva,79
26257,2010s,Dhruvi,5
26258,2010s,Dhwani,5
26259,2010s,Dhyan,28
26260,2010s,Dia,170
26261,2010s,Diago,29
26262,2010s,Diala,6
26263,2010s,Diamond,2399
26264,2010s,Diana,11780
26265,2010s,Diane,551
26266,2010s,Dianelly,8
26267,2010s,Dianely,5
26268,2010s,Dianelys,5
26269,2010s,Dianey,5
26270,2010s,Diangelo,10
26271,2010s,Dianna,524
26272,2010s,Dianne,73
26273,2010s,Didier,119
26274,2010s,Diego,30029
26275,2010s,Diem,43
26276,2010s,Diesel,540
26277,2010s,Dietrich,48
26278,2010s,Dilan,1515
26279,2010s,Dillan,681
26280,2010s,Dillinger,60
26281,2010s,Dillion,23
26282,2010s,Dillon,6421
26283,2010s,Dilraj,7
26284,2010s,Dilynn,17
26285,2010s,Dim,22
26286,2010s,Dimas,77
26287,2010s,Dimitri,1399
26288,2010s,Dimitrios,115
26289,2010s,Dimitry,5
26290,2010s,Dina,1121
26291,2010s,Dinah,122
26292,2010s,Dinari,6
26293,2010s,Dino,74
26294,2010s,Diogo,11
26295,2010s,Dion,915
26296,2010s,Diondre,6
26297,2010s,Dionicio,40
26298,2010s,Dionisio,6
26299,2010s,Dionna,22
26300,2010s,Dionne,13
26301,2010s,Diontae,5
26302,2010s,Dionte,48
26303,2010s,Dior,1321
26304,2010s,Dirk,10
26305,2010s,Disha,40
26306,2010s,Divina,124
26307,2010s,Divine,533
26308,2010s,Divinity,75
26309,2010s,Divisha,6
26310,2010s,Divit,11
26311,2010s,Divya,299
26312,2010s,Dixie,2195
26313,2010s,Dixon,118
26314,2010s,Diya,1840
26315,2010s,Diyor,14
26316,2010s,Diyora,18
26317,2010s,Dj,5
26318,2010s,Djeneba,5
26319,2010s,Djibril,18
26320,2010s,Dmarcus,8
26321,2010s,Dmari,31
26322,2010s,Dmarion,20
26323,2010s,Dmitri,99
26324,2010s,Dmitriy,29
26325,2010s,Dmitry,43
26326,2010s,Dniyah,5
26327,2010s,Dnyla,5
26328,2010s,Doba,6
26329,2010s,Doc,13
26330,2010s,Dodge,10
26331,2010s,Dodger,5
26332,2010s,Dolly,50
26333,2010s,Dolores,158
26334,2010s,Domani,51
26335,2010s,Domanic,13
26336,2010s,Domanick,5
26337,2010s,Domenic,731
26338,2010s,Domenica,74
26339,2010s,Domenick,78
26340,2010s,Domenico,265
26341,2010s,Domingo,277
26342,2010s,Dominic,49660
26343,2010s,Dominica,10
26344,2010s,Dominick,9788
26345,2010s,Dominico,5
26346,2010s,Dominik,3189
26347,2010s,Dominika,23
26348,2010s,Dominion,6
26349,2010s,Dominique,2816
26350,2010s,Domonic,87
26351,2010s,Domonique,6
26352,2010s,Don,481
26353,2010s,Donald,5734
26354,2010s,Donatella,5
26355,2010s,Donatello,45
26356,2010s,Donato,69
26357,2010s,Donavan,445
26358,2010s,Donaven,37
26359,2010s,Donavin,97
26360,2010s,Donavon,60
26361,2010s,Donell,10
26362,2010s,Donna,968
26363,2010s,Donnell,284
26364,2010s,Donnie,509
26365,2010s,Donnovan,6
26366,2010s,Donny,75
26367,2010s,Donovan,10909
26368,2010s,Donovin,16
26369,2010s,Donta,22
26370,2010s,Dontae,423
26371,2010s,Dontavious,134
26372,2010s,Dontavius,20
26373,2010s,Dontay,39
26374,2010s,Donte,1114
26375,2010s,Dontez,26
26376,2010s,Dontrell,113
26377,2010s,Donya,46
26378,2010s,Dora,445
26379,2010s,Doran,5
26380,2010s,Dorcas,21
26381,2010s,Doreen,53
26382,2010s,Dorian,4222
26383,2010s,Dorien,6
26384,2010s,Doris,443
26385,2010s,Dorothea,42
26386,2010s,Dorothy,2941
26387,2010s,Dorsa,5
26388,2010s,Dottie,42
26389,2010s,Douglas,3655
26390,2010s,Dov,794
26391,2010s,Dovber,15
26392,2010s,Dove,11
26393,2010s,Dovid,822
26394,2010s,Draco,73
26395,2010s,Draden,5
26396,2010s,Dragon,5
26397,2010s,Draiden,5
26398,2010s,Draizy,33
26399,2010s,Drake,9557
26400,2010s,Draven,1951
26401,2010s,Dravin,5
26402,2010s,Draxler,5
26403,2010s,Draya,224
26404,2010s,Drayden,560
26405,2010s,Drayke,11
26406,2010s,Draylon,11
26407,2010s,Drayson,5
26408,2010s,Drayton,103
26409,2010s,Dre,48
26410,2010s,Drea,48
26411,2010s,Dream,1077
26412,2010s,Dresden,135
26413,2010s,Drevon,5
26414,2010s,Drew,9896
26415,2010s,Dreya,5
26416,2010s,Dreyden,19
26417,2010s,Dru,67
26418,2010s,Dryden,5
26419,2010s,Dua,148
26420,2010s,Duaa,33
26421,2010s,Duane,489
26422,2010s,Dublin,16
26423,2010s,Duke,2686
26424,2010s,Dulce,4055
26425,2010s,Dulcemaria,105
26426,2010s,Duncan,1989
26427,2010s,Dunya,40
26428,2010s,Duran,5
26429,2010s,Duron,5
26430,2010s,Dusti,6
26431,2010s,Dustin,5689
26432,2010s,Dusty,74
26433,2010s,Dustyn,11
26434,2010s,Dutch,87
26435,2010s,Duvid,94
26436,2010s,Dwayne,2117
26437,2010s,Dwight,603
26438,2010s,Dyana,32
26439,2010s,Dyani,65
26440,2010s,Dyanna,52
26441,2010s,Dylan,93605
26442,2010s,Dyland,352
26443,2010s,Dylann,161
26444,2010s,Dylen,35
26445,2010s,Dylin,5
26446,2010s,Dyllan,224
26447,2010s,Dylon,122
26448,2010s,Dymond,10
26449,2010s,Dynasty,92
26450,2010s,Dyson,155
26451,2010s,Eames,5
26452,2010s,Eamon,852
26453,2010s,Eamonn,60
26454,2010s,Ean,1429
26455,2010s,Earl,502
26456,2010s,Earnest,54
26457,2010s,Eashan,5
26458,2010s,Eason,944
26459,2010s,Easten,37
26460,2010s,Eastin,21
26461,2010s,Easton,40657
26462,2010s,Eastyn,192
26463,2010s,Eathan,31
26464,2010s,Eben,166
26465,2010s,Ebenezer,89
26466,2010s,Eber,52
26467,2010s,Eberardo,11
26468,2010s,Ebin,5
26469,2010s,Eboni,11
26470,2010s,Ebony,267
26471,2010s,Ebrahim,55
26472,2010s,Ebrima,5
26473,2010s,Ebubechukwu,11
26474,2010s,Echo,263
26475,2010s,Eda,20
26476,2010s,Edahi,6
26477,2010s,Edan,144
26478,2010s,Eddie,3448
26479,2010s,Eddison,12
26480,2010s,Eddy,843
26481,2010s,Edel,12
26482,2010s,Edeline,10
26483,2010s,Edelyn,36
26484,2010s,Edelynn,7
26485,2010s,Eden,21178
26486,2010s,Eder,590
26487,2010s,Edgar,10473
26488,2010s,Edgard,10
26489,2010s,Edgardo,219
26490,2010s,Ediberto,5
26491,2010s,Edie,466
26492,2010s,Ediel,54
26493,2010s,Edilberto,5
26494,2010s,Edin,121
26495,2010s,Edison,2935
26496,2010s,Edith,4040
26497,2010s,Edlyn,17
26498,2010s,Edmond,237
26499,2010s,Edmund,800
26500,2010s,Edmundo,70
26501,2010s,Edna,405
26502,2010s,Edoardo,5
26503,2010s,Edon,6
26504,2010s,Edrian,5
26505,2010s,Edric,174
26506,2010s,Edrick,140
26507,2010s,Edrik,10
26508,2010s,Edris,6
26509,2010s,Edsel,5
26510,2010s,Edson,314
26511,2010s,Eduard,80
26512,2010s,Eduarda,5
26513,2010s,Eduardo,14380
26514,2010s,Edvin,41
26515,2010s,Edward,22663
26516,2010s,Edwardo,90
26517,2010s,Edwin,10856
26518,2010s,Edwyn,18
26519,2010s,Edy,15
26520,2010s,Edyn,93
26521,2010s,Eero,8
26522,2010s,Eesa,162
26523,2010s,Eesha,113
26524,2010s,Eeshan,7
26525,2010s,Eevee,44
26526,2010s,Efe,18
26527,2010s,Effie,95
26528,2010s,Efraim,336
26529,2010s,Efrain,1479
26530,2010s,Efrayim,5
26531,2010s,Efren,649
26532,2010s,Egan,18
26533,2010s,Ege,7
26534,2010s,Egor,5
26535,2010s,Egypt,1414
26536,2010s,Eh,134
26537,2010s,Ehan,80
26538,2010s,Ehitan,5
26539,2010s,Ehsan,17
26540,2010s,Eian,292
26541,2010s,Eidan,88
26542,2010s,Eiden,240
26543,2010s,Eila,214
26544,2010s,Eilan,5
26545,2010s,Eileen,3003
26546,2010s,Eilene,5
26547,2010s,Eiley,5
26548,2010s,Eiliyah,5
26549,2010s,Eily,6
26550,2010s,Eilyn,5
26551,2010s,Eimy,129
26552,2010s,Einar,6
26553,2010s,Eira,38
26554,2010s,Eirik,5
26555,2010s,Eisa,20
26556,2010s,Eisen,7
26557,2010s,Eisley,926
26558,2010s,Eitan,539
26559,2010s,Eithan,506
26560,2010s,Eithen,11
26561,2010s,Eito,5
26562,2010s,Eivin,51
26563,2010s,Eiza,518
26564,2010s,Ej,10
26565,2010s,Ekam,188
26566,2010s,Ekaterina,99
26567,2010s,Ekin,6
26568,2010s,Eknoor,34
26569,2010s,Ela,630
26570,2010s,Eladio,16
26571,2010s,Elah,29
26572,2010s,Elai,5
26573,2010s,Elaina,9251
26574,2010s,Elaine,3442
26575,2010s,Elam,402
26576,2010s,Elan,660
26577,2010s,Elana,813
26578,2010s,Elani,299
26579,2010s,Elanie,96
26580,2010s,Elanor,38
26581,2010s,Elany,12
26582,2010s,Elara,197
26583,2010s,Elaya,23
26584,2010s,Elayah,5
26585,2010s,Elayna,1381
26586,2010s,Elaynah,6
26587,2010s,Elayne,28
26588,2010s,Elazar,90
26589,2010s,Elbert,5
26590,2010s,Elchonon,70
26591,2010s,Elda,11
26592,2010s,Eldana,132
26593,2010s,Elden,38
26594,2010s,Elder,106
26595,2010s,Eldin,5
26596,2010s,Eldon,82
26597,2010s,Elea,5
26598,2010s,Eleah,6
26599,2010s,Eleana,124
26600,2010s,Eleanna,10
26601,2010s,Eleanor,33811
26602,2010s,Eleanora,815
26603,2010s,Eleanore,235
26604,2010s,Eleazar,682
26605,2010s,Electra,11
26606,2010s,Eleen,43
26607,2010s,Eleena,34
26608,2010s,Eleina,40
26609,2010s,Elektra,32
26610,2010s,Elen,5
26611,2010s,Elena,24706
26612,2010s,Elene,17
26613,2010s,Eleni,831
26614,2010s,Elenna,5
26615,2010s,Elenore,6
26616,2010s,Eleny,40
26617,2010s,Eleonor,19
26618,2010s,Eleonora,31
26619,2010s,Eleonore,8
26620,2010s,Eleora,5
26621,2010s,Elexa,11
26622,2010s,Elexia,6
26623,2010s,Elexis,70
26624,2010s,Eleyna,92
26625,2010s,Elgin,6
26626,2010s,Elhadji,5
26627,2010s,Eli,62805
26628,2010s,Elia,1125
26629,2010s,Eliab,83
26630,2010s,Eliah,160
26631,2010s,Eliam,502
26632,2010s,Elian,3002
26633,2010s,Eliana,24170
26634,2010s,Elianah,107
26635,2010s,Eliane,5
26636,2010s,Eliani,5
26637,2010s,Elianis,6
26638,2010s,Elianna,3753
26639,2010s,Eliannah,10
26640,2010s,Elianny,155
26641,2010s,Eliany,74
26642,2010s,Elianys,11
26643,2010s,Elias,34553
26644,2010s,Eliav,5
26645,2010s,Eliaz,40
26646,2010s,Eliazar,182
26647,2010s,Eliazer,5
26648,2010s,Elicia,79
26649,2010s,Elida,165
26650,2010s,Elidia,7
26651,2010s,Elie,164
26652,2010s,Eliel,777
26653,2010s,Elienai,64
26654,2010s,Elier,17
26655,2010s,Eliette,97
26656,2010s,Eliezer,1489
26657,2010s,Elif,260
26658,2010s,Eligh,193
26659,2010s,Elih,15
26660,2010s,Elija,31
26661,2010s,Elijah,121208
26662,2010s,Elijahjames,5
26663,2010s,Elijha,15
26664,2010s,Elijiah,43
26665,2010s,Elika,35
26666,2010s,Elimelech,261
26667,2010s,Elin,2460
26668,2010s,Elina,1564
26669,2010s,Elinor,732
26670,2010s,Elio,256
26671,2010s,Eliora,185
26672,2010s,Eliot,1157
26673,2010s,Eliott,188
26674,2010s,Elis,5
26675,2010s,Elisa,5518
26676,2010s,Elisabet,44
26677,2010s,Elisabeth,3597
26678,2010s,Elisabetta,6
26679,2010s,Elisandro,10
26680,2010s,Elise,16672
26681,2010s,Eliseo,1552
26682,2010s,Elisha,3156
26683,2010s,Elisheva,386
26684,2010s,Elisia,40
26685,2010s,Elissa,1415
26686,2010s,Elisse,10
26687,2010s,Eliu,16
26688,2010s,Eliud,149
26689,2010s,Eliya,64
26690,2010s,Eliyah,193
26691,2010s,Eliyahu,878
26692,2010s,Eliyana,29
26693,2010s,Eliyanah,196
26694,2010s,Eliyas,11
26695,2010s,Eliyohu,16
26696,2010s,Eliza,15118
26697,2010s,Elizabella,79
26698,2010s,Elizabet,6
26699,2010s,Elizabeth,85832
26700,2010s,Elizah,62
26701,2010s,Elizandro,23
26702,2010s,Elizaveta,84
26703,2010s,Elize,46
26704,2010s,Elka,48
26705,2010s,Elkin,5
26706,2010s,Elky,43
26707,2010s,Ella,77581
26708,2010s,Ellagrace,28
