ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
11033,Frederick Douglass,MD,United States,US,1818,Male,SOCIAL ACTIVIST
11181,Frank Sinatra,NJ,UNITED STATES,US,1915,Male,SINGER
159966,Ludacris,IL,UNITED STATES,US,1977,Male,MUSICIAN
20596343,Milo Ventimiglia,CA,UNITED STATES,US,1977,Male,ACTOR
9591,E. E. Cummings,MA,UNITED STATES,US,1894,Male,WRITER
11968,George Washington,VA,UNITED STATES,US,1732,Male,POLITICIAN
12209,Gene Kelly,PA,United States,US,1912,Male,ACTOR
466275,Alison Krauss,IL,UNITED STATES,US,1971,Female,MUSICIAN
12234,George Whipple,NH,UNITED STATES,US,1878,Male,PHYSICIAN
12300,George R. R. Martin,NJ,UNITED STATES,US,1948,Male,WRITER
27875,Stephen Jay Gould,NY,UNITED STATES,US,1941,Male,BIOLOGIST
12495,Grover Cleveland,NJ,United States,US,1837,Male,POLITICIAN
12509,Gloria Gaynor,NJ,UNITED STATES,US,1949,Female,SINGER
12531,George Peppard,MI,UNITED STATES,US,1928,Male,ACTOR
479380,Jonathan Davis,CA,UNITED STATES,US,1971,Male,SINGER
1018235,Felicity Huffman,NY,UNITED STATES,US,1962,Female,ACTOR
17780945,Rooney Mara,NY,UNITED STATES,US,1985,Female,ACTOR
12997,George Washington Carver,MO,United States,US,1864,Male,CHEMIST
15821,Jack Lemmon,MA,UNITED STATES,US,1925,Male,ACTOR
39027,Mike Tyson,NY,UNITED STATES,US,1966,Male,BOXER
13120,Glenn T. Seaborg,MI,UNITED STATES,US,1912,Male,CHEMIST
13148,Gene Roddenberry,TX,UNITED STATES,US,1921,Male,PRODUCER
13219,Howard Hawks,IN,UNITED STATES,US,1896,Male,FILM DIRECTOR
13371,Henry Ford,MI,United States,US,1863,Male,INVENTOR
13509,H. P. Lovecraft,RI,UNITED STATES,US,1890,Male,WRITER
763024,Alyssa Milano,NY,UNITED STATES,US,1972,Female,ACTOR
13682,Herbert Hoover,IA,UNITED STATES,US,1874,Male,POLITICIAN
13717,Halle Berry,OH,UNITED STATES,US,1966,Female,ACTOR
